# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
2.23378 16.1437 0     -6.04036 2.31283 0     1     0     -138.292 15.0187 0     
3.63727 27.0425 0     5.24465 1.46191 0     1     0     309.771 201.166 0     
4.8156 16.5693 0     2.68108 -2.52863 0     1     0     93.1675 -194.889 0     
10.0137 24.6392 0     9.19615 -6.37641 0     1     0     85.9798 -49.5162 0     
4.20464 17.5364 0     3.98571 1.1746 0     1     0     30.8231 5.4743 0     
1.68117 25.7098 0     -10.9308 -2.62253 0     1     0     -1063.11 -592.854 0     
1.18959 24.8534 0     5.21361 3.50754 0     1     0     145.684 -525.48 0     
9.262 21.3643 0     -6.0808 -6.17734 0     1     0     52.6992 304.176 0     
8.05597 25.8522 0     0.566688 -5.50168 0     1     0     -436.68 -124.416 0     
5.41916 33.9844 0     -6.28445 1.79116 0     1     0     -35.095 137.275 0     
1.73509 28.3661 0     0.839066 -0.328232 0     1     0     -64.7279 -108.822 0     
5.17362 32.9902 0     1.99979 -1.04706 0     1     0     22.5247 -230.278 0     
13.1507 30.3887 0     7.85665 1.13236 0     1     0     -163.338 -166.735 0     
3.31042 28.818 0     -4.79128 4.90968 0     1     0     187.79 -87.2073 0     
4.85639 27.3837 0     1.12981 4.36433 0     1     0     -147.87 358.238 0     
6.3945 34.3858 0     23.0503 10.4422 0     1     0     101.923 34.8736 0     
7.54742 43.0431 0     -0.526208 2.64858 0     1     0     4.38855 -9.11599 0     
10.6204 47.346 0     -4.36327 -0.333201 0     1     0     -2.89835 -10.9881 0     
5.2308 38.3863 0     6.50334 5.67262 0     1     0     9.67332 -10.7299 0     
9.35678 35.9083 0     -10.0648 -3.218 0     1     0     20.6432 22.5597 0     
4.12939 32.5682 0     6.51572 1.72677 0     1     0     554.41 74.2287 0     
6.92409 39.6001 0     -12.0402 8.58629 0     1     0     -10.7032 -6.21544 0     
18.5392 41.3787 0     4.4486 -7.34914 0     1     0     -40.1146 -27.7071 0     
20.9132 40.6554 0     4.60687 12.0573 0     1     0     4.03435 0.17832 0     
7.37905 44.9169 0     4.1426 2.95279 0     1     0     -649.286 -203.844 0     
7.96366 50.5934 0     -0.790697 8.73892 0     1     0     492.386 2008.92 0     
0.473694 57.4718 0     -7.57215 17.1273 0     1     0     0.415318 -12.8647 0     
42.6131 38.546 0     0.159503 6.50356 0     1     0     2190.95 -591.45 0     
21.8433 51.6027 0     3.8637 11.4579 0     1     0     -17.4085 -2.845 0     
4.41232 47.3035 0     -2.20949 -2.72804 0     1     0     1742.61 894.219 0     
24.1011 47.6197 0     -3.60455 -11.5312 0     1     0     -183.668 -104.668 0     
12.6722 54.7429 0     17.6125 -5.51269 0     1     0     288.494 255.232 0     
3.74257 55.8984 0     -19.1685 1.52238 0     1     0     10.2069 -26.4194 0     
3.68379 3.21719e-05 0     -13.4173 -0.247854 0     1     0     324.393 -459.997 0     
2.59333 1.63968 0     5.29703 2.7652 0     1     0     1927.79 980.862 0     
3.77796 2.04171 0     7.95376 -0.636194 0     1     0     178.49 -124.568 0     
3.3296 6.6057 0     -0.0973156 -0.328154 0     1     0     -233.356 102.928 0     
4.09971 5.94674 0     -3.6456 5.9196 0     1     0     96.6704 103.402 0     
3.53781 9.872 0     5.3745 13.6752 0     1     0     652.253 -38.7228 0     
2.24763 6.8817 0     -10.2718 1.41062 0     1     0     22.883 86.161 0     
1.93035 8.93373 0     10.7163 4.94598 0     1     0     -1543.22 -734.825 0     
3.93148 12.3599 0     0.891675 -6.21449 0     1     0     -194.275 -3.9047 0     
2.63984 9.47895 0     4.34656 -2.21154 0     1     0     2195.88 -510.06 0     
4.30095 14.4839 0     6.76812 4.09711 0     1     0     1040.81 -154.079 0     
3.24382 15.6148 0     1.99371 2.5196 0     1     0     -860.781 -276.62 0     
0.880812 17.6372 0     2.16885 -6.09003 0     1     0     149.928 865.015 0     
1.01559 23.4126 0     1.4289 5.34752 0     1     0     -215.052 141.273 0     
3.8711 23.0343 0     9.90917 -2.38701 0     1     0     125.132 -499.488 0     
4.71484 25.2076 0     1.21782 4.01627 0     1     0     -475.301 266.826 0     
5.91675 23.8572 0     -2.34608 -4.12591 0     1     0     739.042 -735.642 0     
1.32523 16.8003 0     5.1641 -12.2678 0     1     0     303.799 -663.559 0     
2.6328 13.8155 0     -6.30541 0.0467481 0     1     0     -287.844 1254.93 0     
10.1759 11.9767 0     1.27021 1.82231 0     1     0     -816.614 744.091 0     
6.01237 12.6855 0     2.75057 6.8879 0     1     0     -235.998 -41.8413 0     
9.23424 19.1584 0     5.32652 -0.636383 0     1     0     -143.086 88.0552 0     
1.16753 20.4404 0     6.35715 11.3452 0     1     0     -30.8 -368.136 0     
5.18546 18.1989 0     9.10411 6.32484 0     1     0     -244.46 114.318 0     
4.88831 20.3195 0     -1.99491 -0.897785 0     1     0     989.242 -1002.21 0     
5.52828 24.701 0     -18.0327 8.04181 0     1     0     -3.17178 661.831 0     
2.16791 22.4188 0     8.92471 -2.93046 0     1     0     371.335 -215.722 0     
10.481 23.1857 0     7.96229 1.24062 0     1     0     30.4462 37.0248 0     
1.06688e-05 33.0566 0     -0.00229257 6.07786 0     1     0     -32.1613 12.5401 0     
6.63577 44.0842 0     -13.1099 2.14524 0     1     0     -51.5495 -70.7051 0     
4.85441 39.7427 0     0.747315 4.20249 0     1     0     -238.18 -624.367 0     
4.116 36.0783 0     3.34983 -7.46494 0     1     0     -88.8962 -104.9 0     
0.8987 54.2987 0     -14.5838 -5.79643 0     1     0     0.755973 -9.45686 0     
6.38426 35.9905 0     3.66658 2.41256 0     1     0     43.3755 -26.748 0     
9.12034 28.1026 0     2.81764 11.0717 0     1     0     333.263 66.0235 0     
2.75932 35.8689 0     -2.67375 -3.00408 0     1     0     15.9879 2.58866 0     
0.590555 59.845 0     10.8473 14.6106 0     1     0     1.29038 -11.6485 0     
11.7019 46.6392 0     14.2216 -6.22268 0     1     0     -6.62898 -26.0403 0     
