# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
2.24004 26.7387 0     0.583906 2.69218 0     1     0     -5.53361 578.867 0     
5.51288 33.6375 0     -7.9419 -3.15466 0     1     0     -343.142 -23.5334 0     
10.6502 31.2657 0     7.16417 2.30562 0     1     0     28.6401 167.106 0     
3.85782 42.6693 0     -5.86912 3.40118 0     1     0     19.3165 -16.051 0     
2.04536 43.4142 0     6.75839 2.62307 0     1     0     -751.167 656.79 0     
1.50582 38.108 0     -2.81707 -15.2243 0     1     0     -0.878008 -21.4443 0     
3.3203 48.2407 0     4.12415 15.8669 0     1     0     49.8457 43.501 0     
1.17475 39.3227 0     1.22538 -7.83326 0     1     0     30.0048 -3.85617 0     
14.2747 60.7631 0     -3.87532 1.84373 0     1     0     -1.75887 -12.1504 0     
2.56887 45.5039 0     1.65339 -2.36457 0     1     0     0.398502 -12.5668 0     
45.3426 51.3631 0     12.9685 10.4743 0     1     0     -0.620725 -12.5602 0     
13.191 49.3313 0     -1.56691 2.35798 0     1     0     0.257245 -12.1972 0     
114.359 64.6525 0     -9.69558 -1.23 0     1     0     0 -12.44 0     
35.2213 51.1183 0     3.4334 -13.2065 0     1     0     -282.196 286.673 0     
5.86628 0.981151 0     -8.15968 16.0403 0     1     0     727.649 208.174 0     
5.43953 1.93796 0     -2.60576 5.2645 0     1     0     -306.941 -634.535 0     
4.86908 3.04216 0     4.9883 -4.49874 0     1     0     389.418 -92.3223 0     
4.76753 5.2396 0     8.43005 -2.06803 0     1     0     -396.818 -258.018 0     
6.97205 2.69233 0     5.49705 2.94453 0     1     0     273.385 262.226 0     
5.97389 2.67618 0     -10.5449 -4.8126 0     1     0     218.866 733.424 0     
3.91016 4.61637 0     7.35872 7.55156 0     1     0     -158.498 450.32 0     
6.4215 10.9271 0     2.42652 5.2316 0     1     0     -224.362 -356.383 0     
3.89015 7.69009 0     -3.23622 6.6246 0     1     0     295.096 145.502 0     
7.99762 6.30875 0     -10.3509 3.8269 0     1     0     1088.17 -243.594 0     
3.78961 11.0592 0     -14.4478 -1.49125 0     1     0     -237.125 -58.529 0     
7.21874 6.77163 0     3.08121 10.1391 0     1     0     -89.5937 481.238 0     
8.6527 10.799 0     5.87728 3.54749 0     1     0     -1176.56 53.3849 0     
4.66709 10.4661 0     -9.23447 0.781206 0     1     0     -248.552 166.385 0     
9.20655 11.7845 0     1.30161 4.65947 0     1     0     -2552.13 -1439.07 0     
9.20893 13.5983 0     3.20125 -1.22235 0     1     0     17.277 151.027 0     
2.74019 15.7604 0     4.67428 -1.64083 0     1     0     936.965 1116.07 0     
4.1275 14.1114 0     3.10064 3.88881 0     1     0     340.547 -272.909 0     
9.0054 14.6932 0     -1.60376 8.72093 0     1     0     -335.733 -32.5572 0     
3.56566 20.6378 0     9.32225 -4.03408 0     1     0     -29.0978 296.373 0     
7.07077 15.8471 0     -5.49673 -0.879083 0     1     0     -762.341 -953.408 0     
6.4694 20.0737 0     -1.45862 3.27292 0     1     0     738.034 -400.447 0     
2.11584 22.2569 0     0.09818 2.92324 0     1     0     149.143 469.706 0     
6.21239 22.8442 0     -0.269044 -9.56406 0     1     0     -383.256 -655.158 0     
13.0102 18.128 0     1.84932 5.03707 0     1     0     -230.626 -194.082 0     
