# for file format info please take a look at /input/others/txt_file_description.txt
general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
5            0.0005         100            2.5            output

particles:
# origin             velocity         mass    type     old_force
27.0964 3.52105e-05 0     15.6404 -0.0739282 0     1     0     420.362 -304.525 0     
13.8741 7.32498 0     4.70877 -1.70265 0     1     0     139.721 -91.3146 0     
20.5003 2.97839 0     -3.23596 14.2404 0     1     0     6.71402 -25.077 0     
15.5519 2.88788 0     -10.7494 -5.5887 0     1     0     748.377 1169.27 0     
27.7464 2.63303 0     -4.11621 0.791386 0     1     0     -224.867 50.4044 0     
20.4755 11.8035 0     -13.5668 1.0636 0     1     0     235.633 -170.692 0     
16.804 2.81655 0     -13.0638 -1.82168 0     1     0     20.4488 -84.1061 0     
12.9066 7.10499 0     -7.89501 -8.97615 0     1     0     28.7505 -63.0775 0     
16.0166 0.976139 0     9.56482 -5.85483 0     1     0     -2907.85 -3606.77 0     
12.9381 2.86243 0     -9.12485 -16.0571 0     1     0     -20.1949 -146.925 0     
15.2255 4.08233 0     -7.00977 8.54276 0     1     0     -139.495 -361.374 0     
11.1762 3.43573 0     -9.45459 -24.731 0     1     0     -16.3288 -31.5169 0     
25.0133 12.4614 0     17.5882 -22.494 0     1     0     -160.137 -43.7053 0     
9.56242 9.55193 0     -7.07493 -14.7142 0     1     0     -123.765 -673.647 0     
16.5176 3.64679 0     3.11038 0.80699 0     1     0     -669.822 14.2977 0     
22.7379 3.04825 0     15.1725 -27.7313 0     1     0     -343.682 339.394 0     
21.8447 2.84612 0     -11.5938 3.45116 0     1     0     -159.713 900.741 0     
9.12949 13.4501 0     16.7163 21.3524 0     1     0     -528.072 -1440.72 0     
13.5224 3.54042 0     -5.4699 15.9816 0     1     0     23.738 28.1344 0     
17.6196 10.1431 0     -8.96224 -22.1352 0     1     0     -1152.68 175.525 0     
18.3944 5.31341 0     9.24487 -7.93496 0     1     0     6582.24 1557.78 0     
14.0616 1.67813 0     -7.86196 4.44243 0     1     0     1670.1 -463.791 0     
14.5743 3.08586 0     13.1246 -1.82365 0     1     0     1248.36 -4830.27 0     
16.043 13.901 0     -2.8116 -0.740173 0     1     0     -93.2679 -33.4892 0     
15.054 12.6073 0     11.1498 -13.0892 0     1     0     1.33611 891.103 0     
13.8139 17.5626 0     2.59817 -9.13738 0     1     0     -746.775 1364.45 0     
16.3559 11.483 0     17.6655 -14.2821 0     1     0     -403.378 2769.35 0     
3.51555 12.3605 0     -11.9274 -12.4192 0     1     0     15.5541 -28.8346 0     
25.0994 4.81757 0     3.94928 9.02532 0     1     0     -0.83687 -15.1001 0     
