# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius  parallel_strategy  output_baseName
25            0.0005       500           3                 0                 output

particles:
# origin             velocity         mass    type     old_force
3.89887 23.1758 0     -0.282331 0.246143 0     1     0     47.1303 28.0273 0     
3.92944 24.2695 0     -1.04918 -1.01089 0     1     0     -14.5984 -52.989 0     
3.96135 25.3354 0     -0.721592 -0.679527 0     1     0     54.2749 -35.5886 0     
5.06925 25.849 0     2.12267 -0.113194 0     1     0     21.6641 52.8258 0     
3.05075 26.9484 0     0.0989294 0.223599 0     1     0     13.1427 -31.2394 0     
4.03101 27.4817 0     -0.326623 -0.84624 0     1     0     -18.827 -16.8251 0     
3.0254 28.0177 0     -0.624462 0.899341 0     1     0     -32.6704 -12.4293 0     
4.83537 29.1143 0     -0.0653016 -1.6821 0     1     0     -28.3637 62.1359 0     
3.95542 28.5471 0     -0.87207 0.292214 0     1     0     -18.0763 11.053 0     
3.8642 29.6647 0     0.861842 0.175706 0     1     0     76.6493 -16.1359 0     
3.90607 30.7858 0     1.01731 0.699269 0     1     0     -19.2698 -54.2902 0     
4.84305 31.3086 0     0.327776 1.44012 0     1     0     81.7697 -6.90045 0     
2.95514 31.2885 0     0.14938 -0.4275 0     1     0     24.2862 33.7671 0     
3.96974 31.9063 0     0.706942 0.751601 0     1     0     -55.19 -48.2201 0     
3.05639 33.4832 0     0.196769 1.78278 0     1     0     8.59681 9.06877 0     
4.1172 34.0595 0     -0.105611 0.54117 0     1     0     -2.33516 80.2912 0     
3.12404 34.5844 0     -1.90341 1.31254 0     1     0     -22.3528 32.2093 0     
3.20237 36.8518 0     1.15878 -0.415336 0     1     0     -16.3149 66.7972 0     
3.29548 38.0939 0     -0.297635 0.3839 0     1     0     -24.156 -6.06043 0     
2.18131 38.7012 0     -0.987444 1.25503 0     1     0     53.8926 14.4808 0     
3.34234 40.5289 0     -1.36641 2.20385 0     1     0     21.7405 7.89371 0     
6.01904 0.971537 0     0.124736 -0.256601 0     1     0     13.5327 -15.4861 0     
5.51882 1.8429 0     -0.0558405 -0.55849 0     1     0     -77.8571 77.2795 0     
